,CustomerID,ItemCategory1,Item_Cat_1_count,Item_Cat_1_amount
591,1000074,1,2,30996
592,1000074,10,2,47304
593,1000074,13,2,1159
594,1000074,5,6,40201
595,1000074,6,8,143229
596,1000074,8,8,63372
597,1000075,1,13,196927
598,1000075,2,21,270402
599,1000075,3,37,370783
600,1000075,4,25,78793
601,1000075,5,13,108470
602,1000075,8,1,9853
603,1000076,1,17,241946
604,1000076,16,2,41643
605,1000076,3,5,57230
606,1000076,5,10,80459
607,1000076,6,3,61068
608,1000076,8,14,115384
609,1000077,1,1,4339
610,1000077,11,1,6038
611,1000077,16,2,25478
612,1000077,3,2,24150
613,1000077,5,6,39003
614,1000077,8,9,48358
615,1000078,12,5,6618
616,1000078,15,1,21421
617,1000078,2,6,52435
618,1000078,3,11,103160
619,1000078,4,2,6236
620,1000078,5,56,358788
621,1000078,8,4,33648
622,1000079,1,1,12004
623,1000079,11,2,14802
624,1000079,13,1,555
625,1000079,3,1,7962
626,1000079,5,3,19389
627,1000079,6,1,15943
628,1000079,8,7,53822
629,1000080,1,10,155270
630,1000080,2,2,22863
631,1000080,3,6,54304
632,1000080,4,2,4256
633,1000080,5,3,20931
634,1000080,6,1,20300
635,1000080,8,7,61195
636,1000081,1,12,211504
637,1000081,10,3,70436
638,1000081,11,2,14916
639,1000081,12,1,1420
640,1000081,15,1,21468
641,1000081,16,2,17035
642,1000081,18,1,3819
643,1000081,2,2,22633
644,1000081,5,13,88915
645,1000081,6,5,93409
646,1000081,8,9,79222
647,1000082,1,22,318180
648,1000082,11,1,5904
649,1000082,13,3,2465
650,1000082,15,2,26199
651,1000082,16,1,16600
652,1000082,2,1,16230
653,1000082,5,9,68269
654,1000082,6,3,45187
655,1000082,8,17,146674
656,1000083,1,15,230287
657,1000083,10,1,19135
658,1000083,11,2,4735
659,1000083,16,1,20902
660,1000083,2,6,71454
661,1000083,3,2,13718
662,1000083,4,2,6989
663,1000083,5,15,103126
664,1000083,8,8,59473
665,1000084,1,14,217323
666,1000084,15,1,4659
667,1000084,5,5,26546
668,1000084,6,1,20595
669,1000084,8,1,8002
670,1000085,1,5,55300
671,1000085,11,2,9019
672,1000085,16,2,25174
673,1000085,3,1,2958
674,1000085,5,5,26615
675,1000085,8,4,29783
676,1000086,1,8,144540
677,1000086,10,1,23281
678,1000086,11,1,7509
679,1000086,12,2,2848
680,1000086,13,1,740
681,1000086,16,1,20372
682,1000086,2,4,54746
683,1000086,4,1,2799
684,1000086,5,2,17512
685,1000086,8,2,19703
686,1000087,1,32,386171
687,1000087,3,1,2957
688,1000087,5,1,1822
689,1000087,7,1,4362
690,1000087,8,2,12015
691,1000088,1,3,50779
692,1000088,10,2,32983
693,1000088,11,1,1571
694,1000088,2,1,15952
695,1000088,5,9,54572
696,1000088,6,2,36494
697,1000088,8,15,136997
698,1000089,1,4,62048
699,1000089,5,5,16338
700,1000089,8,4,33840
701,1000090,1,37,526231
702,1000090,10,2,38120
703,1000090,11,1,4483
704,1000090,13,5,3794
705,1000090,15,1,13048
706,1000090,16,7,96171
707,1000090,2,5,53117
708,1000090,3,1,8175
709,1000090,4,2,3551
710,1000090,5,41,253784
711,1000090,6,10,150293
712,1000090,8,25,159854
713,1000091,1,2,38641
714,1000091,5,18,148139
715,1000091,8,3,24132
716,1000092,1,52,545551
717,1000092,11,10,24761
718,1000092,12,7,10200
719,1000092,15,1,4688
720,1000092,16,4,41495
721,1000092,2,30,263919
722,1000092,3,34,283134
723,1000092,4,9,21142
724,1000092,5,44,229224
725,1000092,6,1,4061
726,1000092,8,31,145739
727,1000093,1,95,1093743
728,1000093,2,6,74497
729,1000093,3,8,78064
730,1000093,4,1,2139
731,1000093,5,3,19317
732,1000093,8,1,7868
733,1000094,1,1,15482
734,1000094,11,3,13471
735,1000094,3,1,8046
736,1000094,4,1,3497
737,1000094,5,1,8792
738,1000095,1,20,291431
739,1000095,15,1,8622
740,1000095,16,1,16364
741,1000095,2,1,13206
742,1000095,5,16,95676
743,1000095,6,4,54103
744,1000095,8,12,100879
745,1000096,1,13,202360
746,1000096,16,1,16769
747,1000096,18,2,3947
748,1000096,2,3,39616
749,1000096,3,1,8044
750,1000096,5,7,39124
751,1000096,6,4,56976
752,1000096,8,12,77402
753,1000097,1,6,96618
754,1000097,10,6,131646
755,1000097,11,3,19690
756,1000097,12,4,6607
757,1000097,13,4,3792
758,1000097,14,1,18902
759,1000097,15,1,16895
760,1000097,16,2,41039
761,1000097,18,1,3865
762,1000097,2,3,39064
763,1000097,3,2,26648
764,1000097,5,18,134892
765,1000097,6,6,110295
766,1000097,8,25,216951
767,1000098,1,5,82069
768,1000098,5,4,26026
769,1000098,6,1,16584
770,1000098,8,3,29831
771,1000099,1,9,131708
772,1000099,13,1,586
773,1000099,16,2,20535
774,1000099,2,1,16157
775,1000099,3,5,49166
776,1000099,4,2,3587
777,1000099,5,26,150752
778,1000099,6,3,57486
779,1000099,8,15,76436
780,1000100,1,34,397949
781,1000100,5,1,5274
782,1000100,6,2,28479
783,1000100,8,4,30230
784,1000101,1,60,1091270
785,1000101,2,1,16032
786,1000101,4,1,3540
787,1000101,5,2,17322
788,1000101,8,1,10075
789,1000102,1,12,132968
790,1000102,10,1,23719
791,1000102,11,1,7639
792,1000102,13,3,2600
793,1000102,14,2,25979
794,1000102,15,2,29447
795,1000102,16,1,16679
796,1000102,18,1,807
797,1000102,2,1,6691
798,1000102,3,3,19289
799,1000102,4,2,1548
800,1000102,5,24,123173
801,1000102,6,5,85029
802,1000102,8,28,164696
803,1000103,1,56,937183
804,1000103,2,2,22512
805,1000103,3,2,26858
806,1000103,4,2,4212
807,1000103,8,3,26046
808,1000104,1,3,43059
809,1000104,11,2,10569
810,1000104,16,3,41609
811,1000104,2,1,9672
812,1000104,4,1,2090
813,1000104,5,10,58056
814,1000104,8,8,49975
815,1000105,1,36,608993
816,1000105,11,1,6073
817,1000105,5,1,6975
818,1000105,8,2,14048
819,1000106,1,4,69998
820,1000106,12,2,3463
821,1000106,13,1,777
822,1000106,14,1,15240
823,1000106,3,2,24111
824,1000106,4,1,2101
825,1000106,5,10,71651
826,1000106,8,9,62035
827,1000107,1,5,77688
828,1000107,10,3,56745
829,1000107,11,3,18273
830,1000107,12,4,4630
831,1000107,15,1,17403
832,1000107,16,4,58454
833,1000107,18,1,3833
834,1000107,2,1,16005
835,1000107,3,2,21610
836,1000107,5,11,68223
837,1000107,6,4,57130
838,1000107,8,25,178484
839,1000108,1,3,43076
840,1000108,11,2,7720
841,1000108,16,1,16276
842,1000108,3,1,13619
843,1000108,5,6,30445
844,1000108,8,1,9736
845,1000109,1,12,194245
846,1000109,10,1,19131
847,1000109,12,1,1393
848,1000109,14,1,15036
849,1000109,15,1,16622
850,1000109,2,5,68495
851,1000109,3,4,43476
852,1000109,4,4,11862
853,1000109,5,11,78289
854,1000109,8,3,19769
855,1000110,1,15,162226
